@relation pose

@attribute name {question,vsign,arm,standing,beer,sushi}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
vsign,10861,9922,12398,12861,13413
vsign,10974,9820,12366,12660,13520
vsign,10777,9670,12174,12463,13628
vsign,10777,9974,12238,12997,13238
vsign,10917,9670,12594,12561,13736
vsign,10917,9770,12431,12861,13520
vsign,10805,9670,12827,12594,13168
vsign,10833,9897,12431,12727,13484
vsign,10861,9897,12270,12861,13308
vsign,10721,9897,12693,12895,13628
vsign,11145,9645,12238,13413,13203
vsign,11031,9922,12174,12928,13065
vsign,10861,9948,12431,12627,13484
vsign,10777,9620,12206,12529,13700
vsign,11117,9620,12561,13065,13449
vsign,10639,9846,12627,12431,13449
vsign,10584,9770,12206,12794,13134
vsign,10861,9871,12496,12928,13449
vsign,10917,9820,12270,12561,13484
vsign,10694,10025,12174,12561,13773
vsign,10777,9922,12079,13343,12928
vsign,11059,9745,12463,12398,13378
vsign,10917,9846,12529,12431,13343
vsign,10945,9670,12529,13168,13556
vsign,10694,9922,12627,13203,13520
vsign,11002,9670,12561,12627,13449
vsign,10974,9871,12142,13308,13308
vsign,10945,9720,12366,13099,13343
vsign,10945,9670,12334,12895,12997
vsign,10974,9670,12463,12962,13308
vsign,10889,9846,12142,13065,13343
vsign,10666,9620,12079,12398,13238
vsign,10833,9871,12174,12861,13592
vsign,10639,9595,12302,13343,12895
vsign,10639,9795,12760,12861,12895
vsign,11031,9745,12431,12928,13628
vsign,11002,9948,12270,12727,13413
vsign,10749,9948,12366,12334,13520
vsign,10721,9846,12529,12398,13134
vsign,11002,9820,12238,12561,13168
vsign,11117,9820,12017,12398,13099
vsign,11174,9570,12727,12398,13700
vsign,10833,9897,12270,12727,13099
vsign,10777,9871,12302,12660,13484
vsign,11203,9695,12079,13203,13134
vsign,11203,9770,11892,13238,13273
vsign,10917,9846,12079,13065,13308
vsign,10917,9745,12334,12529,12997
vsign,10945,9770,12079,13099,13308
vsign,10889,9670,12496,12861,13065
vsign,11088,10025,12561,12496,12928
vsign,10945,9948,12048,13031,13168
vsign,10917,9695,11954,13413,13065
vsign,10861,9974,12302,12861,13168
vsign,10861,9795,11985,12627,13134
vsign,11031,9645,12334,12760,12962
vsign,10861,9670,12398,12693,13343
vsign,10611,9922,12142,12627,13664
vsign,10945,9846,12660,13203,13134
vsign,10945,9745,12142,12962,13238
vsign,10694,9820,12431,12561,13449
vsign,10861,9745,12206,13099,13273
vsign,11002,9570,12463,12627,13343
vsign,10889,9871,12111,12794,13484
vsign,10721,9496,12334,13099,13031
vsign,10777,9570,12496,12928,13031
vsign,10833,9423,12206,13520,12997
vsign,10889,9720,12302,13031,13413
vsign,10639,9645,12794,13273,13592
vsign,10749,9620,12431,13273,13449
vsign,11059,9770,11954,13343,12895
vsign,10749,9521,12366,12928,13065
vsign,10694,9670,12760,13378,13413
vsign,11145,9820,11861,12794,13628
vsign,10639,9595,11861,13203,12928
vsign,10557,9897,11985,13273,13203
vsign,11088,9795,12017,12431,12827
vsign,10861,9670,12174,12693,13308
vsign,10666,9447,11923,12561,12895
vsign,10889,9695,12398,12928,12861
vsign,10861,9670,12302,12693,13065
vsign,11031,9846,12529,12463,13413
vsign,10694,9570,12727,13308,12827
