@relation pose

@attribute name {question,exclamation,arm,anxious,vsign,tengu,standing}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
vsign,10051,6095,9720,11861,10000
vsign,10208,6095,9745,11497,10025
vsign,10103,6062,9897,11678,10077
vsign,10103,6095,9897,11708,10051
vsign,10051,6095,9922,11739,10000
vsign,9948,6095,9846,11830,9871
vsign,10208,6078,9770,11678,10103
vsign,10077,6112,9770,11527,10051
vsign,10051,6129,9745,11708,10287
vsign,10129,6112,9897,11587,10051
vsign,10077,6095,9745,11678,9897
vsign,10025,6112,9720,11678,9897
vsign,9974,6112,9720,11678,10025
vsign,10103,6095,9745,11617,9974
vsign,10103,6078,9770,11617,10000
vsign,10103,6129,9695,11617,9871
vsign,10077,6112,9670,11739,9922
vsign,9974,6112,9720,11678,9922
vsign,10129,6078,9820,11648,10077
vsign,10025,6112,9670,11557,9948
vsign,10000,6129,9695,11769,9897
vsign,10051,6095,9670,11708,9922
vsign,10025,6129,9720,11587,9948
vsign,10077,6078,9720,11678,10051
vsign,10025,6129,9745,11739,9897
vsign,10077,6129,9670,11739,9922
vsign,10025,6095,9745,11708,9871
vsign,10077,6145,9695,11769,10051
vsign,10129,6129,9745,11438,9974
vsign,10103,6062,9645,11708,10000
vsign,10156,6095,9770,11527,10077
vsign,10077,6112,9645,11617,9948
vsign,10000,6145,9745,11708,9948
vsign,10103,6112,9595,11617,9922
vsign,10025,6078,9645,11678,9948
vsign,9922,6112,9795,11617,9846
vsign,10077,6062,9820,11678,9948
vsign,10077,6112,9720,11527,9948
vsign,9974,6078,9745,11708,9897
vsign,10051,6078,9720,11739,9922
vsign,10025,6112,9770,11557,9948
vsign,10103,6078,9620,11708,10025
vsign,10077,6112,8948,11708,10000
vsign,10103,6078,9795,11617,10051
vsign,9974,6078,9720,11739,9922
vsign,10156,6062,9745,11587,9974
vsign,10000,6112,9770,11587,10000
vsign,9974,6062,9820,11648,10000
vsign,10182,6095,9745,11617,10103
vsign,10103,6145,9720,11617,9974
vsign,10156,6129,9645,11678,10000
vsign,10208,6062,9670,11617,10051
vsign,10051,6129,9670,11557,10000
vsign,10051,6129,9230,11678,10051
vsign,10103,6213,9897,11557,10025
vsign,10051,6112,9795,11769,10000
vsign,10156,6078,9795,11557,10025
vsign,10103,6095,9720,11557,10025
vsign,10025,6129,9720,11587,9922
vsign,10129,6112,9645,11769,10103
vsign,10077,6095,9897,11648,10051
vsign,10051,6095,9645,11769,10000
vsign,10025,6129,9695,11557,10000
vsign,10103,6078,9820,11527,10077
vsign,10025,6112,9670,11678,9974
