@relation pose

@attribute name {question,vsign,arm,standing,beer}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
arm,9472,6630,12079,9112,10077
arm,9447,6630,12111,9112,10103
arm,9447,6630,12111,9112,10077
arm,9472,6613,12111,9112,10077
arm,9447,6630,12111,9112,10077
arm,9472,6630,12111,9112,10077
arm,9472,6630,12111,9112,10051
arm,9472,6613,12111,9135,10025
arm,9447,6559,12079,9135,10025
arm,9423,6595,12079,9135,10025
arm,9472,6595,12079,9135,10025
arm,9472,6613,12079,9112,10025
arm,9472,6613,12079,9112,10025
arm,9472,6613,12079,9135,10051
arm,9447,6577,12079,9135,10025
arm,9472,6595,12079,9112,10025
arm,9472,6595,12017,9135,9974
arm,9472,6595,12048,9135,10000
arm,9472,6595,12079,9135,10000
arm,9472,6577,12079,9135,9974
arm,9472,6577,12048,9135,9974
arm,9472,6577,12048,9112,9948
arm,9472,6559,12048,9112,9948
arm,9472,6559,12048,9112,9922
arm,9472,6559,12048,9112,9922
arm,9472,6559,12048,9112,9922
arm,9472,6559,12048,9135,9922
arm,9472,6559,12048,9112,9897
arm,9472,6542,12048,9112,9897
arm,9472,6559,12048,9112,9897
arm,9472,6542,12048,9135,9897
arm,9496,6542,12017,9135,9897
arm,9472,6542,12048,9135,9897
arm,9472,6542,12048,9135,9922
arm,9472,6542,12048,9135,9871
arm,9472,6542,12048,9135,9897
arm,9472,6542,12017,9135,9897
arm,9472,6542,12048,9135,9897
arm,9447,6542,12048,9135,9922
arm,9472,6542,12017,9159,9922
arm,9472,6524,12048,9159,9922
arm,9472,6542,11985,9135,9922
arm,9472,6542,12017,9159,9922
arm,9472,6542,12017,9159,9922
arm,9472,6542,12017,9135,9922
arm,9472,6542,12048,9159,9922
arm,9472,6542,12017,9159,9922
arm,9472,6542,12017,9159,9922
arm,9472,6542,12048,9159,9922
arm,9472,6542,12017,9159,9897
arm,9472,6542,12017,9135,9897
arm,9447,6542,12017,9159,9897
arm,9472,6542,12017,9135,9897
arm,9472,6542,12048,9183,9897
arm,9472,6542,12017,9159,9897
arm,9447,6542,12017,9159,9897
arm,9472,6542,12017,9159,9897
arm,9472,6542,12017,9159,9897
arm,9472,6524,12017,9135,9922
arm,9472,6542,12017,9135,9897
arm,9472,6524,12017,9135,9897
arm,9472,6542,12017,9135,9897
arm,9447,6542,12017,9135,9897
arm,9472,6542,12017,9135,9897
arm,9472,6542,12017,9135,9897
arm,9472,6542,12017,9135,9897
arm,9472,6559,12017,9135,9897
arm,9472,6559,12017,9135,9897
arm,9472,6559,12017,9135,9897
arm,9423,6559,12017,9135,9897
arm,9472,6559,12017,9135,9897
arm,9472,6559,12017,9135,9897
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9897
arm,9472,6577,12048,9135,9871
arm,9447,6577,12017,9112,9871
arm,9472,6524,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9897
arm,9472,6506,12017,9041,9871
arm,9447,6559,12017,9135,9871
arm,9447,6559,11985,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6542,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9447,6559,12017,9135,9871
arm,9447,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,11985,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,11985,9135,9871
arm,9472,6559,11985,9135,9871
arm,9472,6559,12017,9135,9871
arm,9472,6559,12017,9112,9871
arm,9472,6559,11985,9135,9871
arm,9472,6559,11985,9135,9871
arm,9472,6559,11985,9112,9897
arm,9472,6559,11985,9135,9871
arm,9496,6559,11985,9135,9871
arm,9496,6559,11954,9135,9871
arm,9521,6559,11954,9135,9871
arm,9546,6559,11923,9135,9871
arm,9546,6542,11923,9135,9871
arm,9570,6559,11923,9112,9871
arm,9595,6542,11892,9135,9871
arm,9620,6542,11892,9135,9871
arm,9645,6542,11861,9159,9871
arm,9670,6542,11830,9159,9871
arm,9695,6524,11800,9159,9871
arm,9720,6524,11769,9159,9871
arm,9720,6506,11739,9135,9897
arm,9745,6506,11708,9159,9897
arm,9795,6489,11678,9159,9897
arm,9770,6489,11678,9159,9897
arm,9770,6489,11678,9159,9897
arm,9795,6489,11648,9159,9922
arm,9795,6489,11678,9159,9922
arm,9795,6471,11648,9159,9922
arm,9795,6489,11648,9159,9922
arm,9770,6471,11648,9159,9922
arm,9770,6454,11648,9159,9948
arm,9770,6471,11648,9159,9974
arm,9770,6454,11678,9159,9948
arm,9745,6454,11648,9159,9948
arm,9720,6454,11648,9159,9948
arm,9745,6454,11648,9159,9922
arm,9745,6436,11648,9159,9948
arm,9745,6436,11648,9159,9922
arm,9745,6436,11648,9159,9948
arm,9745,6454,11648,9135,9922
arm,9745,6454,11648,9135,9922
arm,9745,6454,11648,9135,9922
arm,9745,6454,11648,9135,9922
arm,9770,6454,11648,9135,9922
arm,9770,6454,11648,9159,9922
arm,9770,6454,11678,9135,9922
arm,9770,6454,11708,9135,9922
arm,9770,6454,11678,9135,9922
arm,9770,6471,11708,9135,9922
arm,9770,6471,11708,9135,9948
arm,9770,6471,11708,9112,9922
arm,9745,6471,11708,9135,9948
arm,9745,6471,11708,9112,9922
arm,9745,6471,11708,9112,9948
