@relation pose

@attribute name {question,vsign,arm,standing,beer,sushi}
@attribute bend1 real
@attribute bend2 real
@attribute bend3 real
@attribute bend4 real
@attribute bend5 real

@data
standing,9695,7165,10861,10805,10557
standing,9645,7146,10889,10833,10666
standing,9645,7222,10861,10805,10557
standing,9645,7165,10777,10974,10394
standing,9620,7127,10861,10974,10557
standing,9645,7184,10861,10861,10666
standing,9645,7241,10889,10861,10448
standing,9695,7146,10721,10666,10529
standing,9745,7318,10861,10861,10639
standing,9645,7279,10749,10777,10777
standing,9695,7279,10777,10777,10475
standing,9745,7260,10721,10694,10557
standing,9745,7279,10805,10861,10448
standing,9795,7146,10749,10861,10666
standing,9820,7279,10777,10805,10557
standing,9795,7241,10639,10974,10557
standing,9770,7184,10749,10721,10502
standing,9770,7241,10749,10805,10584
standing,9795,7184,10833,10639,10639
standing,9795,7165,10861,10861,10421
standing,9871,7108,10805,10917,10721
standing,9720,7146,10557,10833,10394
standing,9820,7241,10694,10721,10421
standing,9770,7165,10777,10721,10557
standing,9846,7241,10805,10448,10529
standing,9820,7108,10805,10805,10584
standing,9720,7299,10666,10721,10557
standing,9846,7279,10889,10584,10666
standing,9745,7203,10861,10666,10448
standing,9871,7279,10833,10611,10475
standing,9846,7241,10666,10557,10394
standing,9820,7184,10833,10666,10639
standing,9846,7337,10557,10805,10557
standing,9871,7222,10694,10833,10557
standing,9745,7376,10611,10861,10529
standing,9871,7318,10666,10777,10475
standing,9745,7396,10584,10917,10448
standing,9820,7415,10611,10611,10421
standing,9974,7299,10777,10721,10639
standing,9820,7260,10611,10584,10475
standing,9948,7415,10777,10611,10341
standing,9897,7396,10584,10666,10639
standing,9948,7260,10861,10777,10314
standing,9871,7318,10833,10639,10502
standing,9948,7260,10805,10611,10529
standing,9846,7241,10833,10639,10421
standing,9948,7299,10749,10749,10421
standing,9897,7357,10721,10749,10557
standing,9948,7260,10861,10721,10502
standing,9897,7376,10777,10694,10421
standing,9948,7260,10749,10861,10421
standing,9897,7396,10749,10639,10666
standing,9922,7376,10749,10777,10529
standing,9922,7241,10833,10889,10448
standing,9695,7376,10917,10694,10529
standing,9595,7299,11031,10777,10502
standing,9570,7337,11059,10777,10584
standing,9570,7279,10945,10833,10666
standing,9521,7337,10945,10611,10639
standing,9720,7260,11031,10694,10721
standing,10103,7241,11088,10611,10557
standing,10129,7357,10917,10666,10721
standing,10156,7337,10861,10861,10529
standing,10314,7357,10945,10694,10529
standing,10448,7337,11031,10833,10639
standing,10394,7474,10889,10721,10666
standing,10341,7337,11002,10805,10639
standing,10261,7318,11059,10749,10448
standing,10261,7494,10889,10833,10502
standing,10261,7318,10889,10749,10694
standing,10182,7337,11059,10777,10475
standing,10234,7357,10917,10833,10639
standing,10234,7279,11031,10639,10694
standing,10287,7222,11088,10557,10584
standing,10077,7222,11031,10889,10448
standing,10129,7203,10917,10805,10666
standing,10000,7279,11117,10666,10448
